Screen Number,Screen ID,Path,Section,Type,Auto Advance,Has Button,Timed Delay (ms),Title (EN),Title (ES),Subtitle (EN),Field Type,Options/Fields,Conditional From,Next Step,Previous Step,Progress %,
28,surgery,surgery,5. Medical History,single-select,Yes,No,,"Have you had any abdominal, intestinal, or weight-loss surgeries?","¿Has tenido alguna cirugía abdominal, intestinal o de pérdida de peso?",,radio,"yes, no",,"surgery-details (if yes), blood-pressure (if no)",kidney-conditions,84,
29,surgery-details,surgery-details,5. Medical History,multi-select,No,Yes,,Have you had any surgery or medical procedure?,¿Ha tenido alguna cirugía o procedimiento médico?,,checkbox,"gastric_bypass, duodenal_switch, lap_band, gastric_sleeve, intestinal_surgery, none",had_surgery = yes,blood-pressure,surgery,85,
30,blood-pressure,blood-pressure,5. Medical History,single-select,Yes,No,,What's your most recent blood pressure reading?,¿Cuál es tu lectura de presión arterial más reciente?,"If you don't know exact numbers, select your best estimate.",radio,"normal, elevated, high_stage1, high_stage2, crisis, low, unknown",,glp1-history,surgery,86,
31,glp1-history,glp1-history,6. GLP-1 History,single-select,Yes,No,,Do you currently take or have you ever taken a GLP-1 medication for weight loss?,¿Actualmente toma o ha tomado alguna vez un medicamento GLP-1 para perder peso?,"GLP-1s include semaglutide, tirzepatide, Ozempic, Wegovy, Mounjaro, Zepbound",radio,"currently_taking, previously_taken, never_taken, considering",,"glp1-type (if currently/previously), recreational-drugs (if never/considering)",blood-pressure,87,
32,glp1-type,glp1-type,6. GLP-1 History,single-select,Yes,No,,Which GLP-1 medication did you take or are you currently taking?,¿Qué medicamento GLP-1 tomaste o estás tomando actualmente?,,radio,"liraglutide, semaglutide, tirzepatide, oral_glp1, other",glp1_history = currently_taking OR previously_taken,"semaglutide-dosage (if sema), tirzepatide-dosage (if tirz), dosage-satisfaction (other)",glp1-history,88,
33,semaglutide-dosage,semaglutide-dosage,6. GLP-1 History (Sema Branch),single-select,Yes,No,,"What dose of injectable semaglutide (Ozempic®, Wegovy® or compounded) are you taking?",¿Qué dosis de semaglutida inyectable está tomando?,Indicate your current dose in milligrams (mg) per week.,radio,"0.25mg, 0.50mg, 0.75mg, 1mg, 1.25mg, 1.7mg, 2mg, 2.4mg, oral",glp1_type = semaglutide,semaglutide-side-effects,glp1-type,89,
34,semaglutide-side-effects,semaglutide-side-effects,6. GLP-1 History (Sema Branch),multi-select,No,Yes,,Have you experienced any side effects while taking semaglutide?,¿Has experimentado algún efecto secundario mientras tomas semaglutida?,,checkbox,"nausea, vomiting, diarrhea, constipation, headache, fatigue, none",,semaglutide-success,semaglutide-dosage,90,
35,semaglutide-success,semaglutide-success,6. GLP-1 History (Sema Branch),single-select,Yes,No,,How successful has your experience been with semaglutide?,¿Qué tan exitosa ha sido su experiencia con semaglutide?,,radio,"very_successful, somewhat_successful, not_successful, hard_consistency",,dosage-satisfaction,semaglutide-side-effects,91,
36,tirzepatide-dosage,tirzepatide-dosage,6. GLP-1 History (Tirz Branch),single-select,Yes,No,,"What dose of injectable tirzepatide (Mounjaro®, Zepbound® or compounded) are you taking?",¿Qué dosis de tirzepatida inyectable está tomando?,Indicate your current dose in milligrams (mg) per week.,radio,"2.5mg, 5.0mg, 7.5mg, 10mg, 12.5mg, 15mg, oral",glp1_type = tirzepatide,tirzepatide-side-effects,glp1-type,89,
37,tirzepatide-side-effects,tirzepatide-side-effects,6. GLP-1 History (Tirz Branch),multi-select,No,Yes,,Have you experienced any side effects while taking tirzepatide?,¿Has experimentado algún efecto secundario mientras tomas tirzepatida?,,checkbox,"nausea, vomiting, diarrhea, constipation, headache, fatigue, none",,tirzepatide-success,tirzepatide-dosage,90,
38,tirzepatide-success,tirzepatide-success,6. GLP-1 History (Tirz Branch),single-select,Yes,No,,How successful has your experience been with tirzepatide?,¿Qué tan exitosa ha sido su experiencia con tirzepatide?,,radio,"very_successful, somewhat_successful, not_successful, hard_consistency",,dosage-satisfaction,tirzepatide-side-effects,91,
39,dosage-satisfaction,dosage-satisfaction,6. GLP-1 History,single-select,Yes,No,,Are you satisfied with your current GLP-1 dose?,¿Está satisfecho con su dosis actual de GLP-1?,,radio,"increase, maintain, reduce",,alcohol-consumption,glp1-type,92,
40,alcohol-consumption,alcohol-consumption,6. GLP-1 History,single-select,Yes,No,,How often do you have 5 or more alcoholic drinks on a single occasion?,¿Con qué frecuencia tomas 5 o más bebidas alcohólicas en una sola ocasión?,Alcohol can sometimes interfere with certain medications.,radio,"never, few_times_year, few_times_month, few_times_week, daily",,safety-quality,dosage-satisfaction,93,
41,recreational-drugs,recreational-drugs,6. GLP-1 History (No GLP-1 Branch),multi-select,No,Yes,,Have you taken any of the following recreational drugs in the past 6 months?,¿Has tomado alguna de las siguientes drogas recreativas en los últimos 6 meses?,We ask this so your provider can have a complete picture.,checkbox,"cocaine, kratom, opiates, meth, cannabis, none",glp1_history = never_taken OR considering,weight-loss-history,glp1-history,88,
42,weight-loss-history,weight-loss-history,6. GLP-1 History (No GLP-1 Branch),multi-select,No,Yes,,Have you ever tried to lose weight before?,¿Has intentado perder peso antes?,,checkbox,"diet, exercise, supplements, programs, surgery, medication, none",,weight-loss-support,recreational-drugs,89,
43,weight-loss-support,weight-loss-support,6. GLP-1 History (No GLP-1 Branch),multi-select,No,Yes,,What would make it easier for you to stick with a weight loss program?,¿Qué haría más fácil para ti mantenerte en un programa de pérdida de peso?,Select all that apply.,checkbox,"nutrition, meals, digital, dosage, community, other",,side-effects-info,weight-loss-history,90,
44,side-effects-info,side-effects-info,6. GLP-1 History (No GLP-1 Branch),info,No,Yes,,"Nausea, vomiting, constipation, and diarrhea are common early side effects of weight loss medication.","Las náuseas, vómitos, estreñimiento y diarrea son efectos secundarios tempranos comunes.",,info,Information display only,,dosage-interest,weight-loss-support,91,
45,dosage-interest,dosage-interest,6. GLP-1 History (No GLP-1 Branch),single-select,No,Yes,,Would you be interested in your provider considering a personalized dosage plan?,¿Estarías interesado en que tu proveedor considere un plan de dosis personalizado?,,radio,"yes, no, not_sure",,glp1-data,side-effects-info,92,
46,glp1-data,glp1-data,6. GLP-1 History (No GLP-1 Branch),custom (GLP1DataStep),No,Yes,,Clinical data indicates that personalized GLP-1 dosing can help reduce side effects.,Datos clínicos indican que las dosis personalizadas de GLP-1 pueden ayudar a reducir los efectos secundarios.,,info,Clinical data display,,safety-quality,dosage-interest,93,
47,safety-quality,safety-quality,7. Final Questions,custom (SafetyQualityStep),Yes,No,2500,Committed to safety and the highest quality at every step.,Comprometidos con la seguridad y la máxima calidad en cada paso.,,info,"FDA, Licensed Pharmacy, Personalized Treatments icons",,medical-team,alcohol-consumption OR glp1-data,94,
48,medical-team,medical-team,7. Final Questions,custom (MedicalTeamStep),Yes,No,2500,Meet Your Medical Team,Conoce a Tu Equipo Médico,,info,Doctor photos and credentials,,common-side-effects,safety-quality,95,
49,common-side-effects,common-side-effects,7. Final Questions,single-select,Yes,No,,Do you usually experience any of these side effects when starting a new medication?,¿Sueles presentar alguno de estos efectos secundarios al comenzar un nuevo medicamento?,Our doctors can help you manage side effects.,radio,"gastrointestinal, abdominal_pain, appetite_decrease, fatigue, dizziness, headache, none",,personalized-treatment,medical-team,96,
50,personalized-treatment,personalized-treatment,7. Final Questions,custom (PersonalizedTreatmentStep),Yes,No,2000,Your personalized treatment awaits.,Tu tratamiento personalizado te espera.,,info,Transition screen,,finding-provider,common-side-effects,97,
51,finding-provider,finding-provider,8. Submission,custom (FindingProviderStep),Yes,No,3000,Finding a licensed provider,Buscando un proveedor licenciado,,animation,"Progress animation, submits to Airtable",,qualified,personalized-treatment,99,
52,qualified,qualified,8. Submission,custom (QualifiedStep),No,Yes,,Great news!,¡Excelentes noticias!,You may qualify for treatment.,display,"Shows name, checkout CTA",,CHECKOUT (end),finding-provider,100,
